H_estimate,H_error,mu,sigma,T
-0.440129,0.000405663,0.788566,0.640119,0.000954772
-0.439118,0.000417213,0.788506,0.641799,0.000954772
-0.439648,0.000412158,0.788506,0.641799,0.000954772
-0.439587,0.000410759,0.787697,0.641609,0.000954772
-0.439817,0.000415518,0.788218,0.64078,0.000954772
-0.440266,0.000406842,0.788218,0.64078,0.000954772
-0.439719,0.000407242,0.787307,0.641317,0.000954772
-0.440289,0.000399029,0.786458,0.640068,0.000954772
-0.440023,0.000399951,0.78628,0.639991,0.000954772
-0.439921,0.000397926,0.787047,0.640019,0.000954772
-0.439545,0.000412026,0.786471,0.640132,0.000954772
-0.439447,0.000420247,0.787314,0.63953,0.000954772
-0.440591,0.000394053,0.78681,0.637402,0.000954772
-0.441373,0.000393128,0.786612,0.637028,0.000954772
-0.441884,0.000386968,0.787326,0.63648,0.000954772
-0.441949,0.000385307,0.787996,0.635923,0.000954772
-0.440722,0.000384816,0.788069,0.638109,0.000954772
-0.441663,0.000377217,0.788069,0.638109,0.000954772
-0.440854,0.000383337,0.788116,0.637873,0.000954772
-0.441513,0.000388283,0.788506,0.636714,0.000954772
-0.440267,0.000399715,0.786925,0.638108,0.000954772
-0.441734,0.000376974,0.788113,0.637214,0.000954772
-0.441274,0.000391661,0.788181,0.637602,0.000954772
-0.441014,0.000397633,0.7888,0.636657,0.000954772
-0.441862,0.000378117,0.788523,0.635203,0.000954772
-0.440928,0.000395742,0.789362,0.636536,0.000954772
-0.440932,0.000402403,0.78905,0.636616,0.000954772
-0.440763,0.000399338,0.78799,0.636525,0.000954772
-0.441493,0.000385951,0.78617,0.636318,0.000954772
-0.440763,0.000397951,0.787552,0.636403,0.000954772
-0.44091,0.000393603,0.787552,0.636403,0.000954772
-0.441049,0.000399542,0.789712,0.637627,0.000954772
-0.441396,0.000393656,0.790077,0.638001,0.000954772
-0.440434,0.000407016,0.789646,0.636792,0.000954772
-0.441323,0.000399576,0.787725,0.637488,0.000954772
-0.4412,0.000393936,0.787725,0.637488,0.000954772
