H_estimate,H_error
-0.44936,0.00358449
-0.449277,0.00357696
-0.449294,0.00356853
-0.44913,0.0035639
-0.448958,0.00355962
-0.448962,0.00355125
-0.449033,0.00354363
-0.44899,0.0035356
-0.448882,0.003529
-0.4489,0.00352083
-0.449033,0.00351516
-0.449145,0.0035088
-0.449129,0.00350072
-0.449087,0.0034929
-0.449158,0.00348557
-0.449223,0.00347818
-0.448949,0.00348098
-0.449034,0.00347406
-0.449133,0.00346756
-0.44906,0.00346045
-0.449,0.00345311
-0.449246,0.003454
-0.449076,0.00345037
-0.449042,0.00344276
-0.449155,0.0034369
-0.44911,0.00342949
-0.449098,0.00342183
-0.449211,0.00341605
-0.449136,0.00340925
-0.448963,0.0034061
-0.448547,0.00342388
-0.448389,0.00341993
-0.448157,0.00342028
-0.448302,0.00341582
-0.447909,0.00343082
-0.447845,0.0034239
-0.447918,0.00341719
-0.447761,0.00341333
-0.447504,0.00341556
-0.447803,0.00342122
-0.447974,0.00341808
-0.448056,0.00341165
-0.448204,0.0034075
-0.448191,0.00340018
-0.448186,0.00339286
-0.448233,0.0033859
-0.448107,0.00338097
-0.44795,0.00337738
-0.44793,0.00337024
-0.447926,0.00336306
-0.447999,0.0033567
-0.447869,0.0033521
-0.44813,0.00335521
-0.448156,0.00334822
-0.4483,0.00334427
-0.448225,0.00333808
-0.448346,0.00333329
-0.448302,0.00332661
-0.448289,0.00331968
-0.448314,0.00331285
-0.448198,0.00330802
-0.446438,0.00374075
-0.446313,0.00373509
-0.446342,0.00372748
-0.446185,0.00372312
-0.446416,0.00372268
-0.44651,0.0037162
-0.446353,0.0037119
-0.446442,0.00370537
-0.446418,0.00369787
-0.44605,0.00370871
-0.446038,0.00370118
-0.446102,0.00369422
-0.446185,0.00368767
-0.446335,0.00368329
-0.446309,0.00367595
-0.445758,0.00370971
-0.445895,0.0037048
-0.445796,0.00369868
-0.445845,0.00369159
-0.445998,0.00368739
-0.44602,0.0036801
-0.446013,0.00367279
-0.445982,0.00366562
-0.4459,0.00365927
-0.445871,0.00365215
-0.445923,0.00364531
-0.445949,0.00363821
-0.445714,0.00363862
-0.445498,0.00363791
-0.445571,0.00363152
-0.445613,0.00362466
-0.445862,0.00362613
-0.445981,0.00362102
-0.446032,0.00361434
-0.445819,0.00361357
-0.445809,0.00360659
-0.445727,0.00360054
-0.445601,0.00359582
-0.445677,0.00358969
-0.445581,0.00358407
-0.445554,0.0035773
-0.445676,0.00357255
-0.445587,0.00356683
-0.445587,0.00356003
-0.445498,0.00355437
